Municipalite,Secteur_CMM
Baie-d'Urfé,Agglomeration de Montreal
Beaconsfield,Agglomeration de Montreal
Cote-Saint-Luc,Agglomeration de Montreal
Dollard-des-Ormeaux,Agglomeration de Montreal
Dorval,Agglomeration de Montreal
Hampstead,Agglomeration de Montreal
Kirkland,Agglomeration de Montreal
L'Ile-Dorval,Agglomeration de Montreal
Montreal,Agglomeration de Montreal
Montreal-Est,Agglomeration de Montreal
Montreal-Ouest,Agglomeration de Montreal
Mont-Royal,Agglomeration de Montreal
Pointe-Claire,Agglomeration de Montreal
Sainte-Anne-de-Bellevue,Agglomeration de Montreal
Senneville,Agglomeration de Montreal
Westmount,Agglomeration de Montreal
Boucherville,Agglomeration de Longueuil
Brossard,Agglomeration de Longueuil
Longueuil,Agglomeration de Longueuil
Saint-Bruno-de-Montarville,Agglomeration de Longueuil
Saint-Lambert,Agglomeration de Longueuil
Laval,Laval
Blainville,Couronne Nord
Boisbriand,Couronne Nord
Bois-des-Filion,Couronne Nord
Charlemagne,Couronne Nord
Deux-Montagnes,Couronne Nord
L'Assomption,Couronne Nord
Lorraine,Couronne Nord
Mascouche,Couronne Nord
Mirabel,Couronne Nord
Oka,Couronne Nord
Pointe-Calumet,Couronne Nord
Repentigny,Couronne Nord
Rosemere,Couronne Nord
Sainte-Anne-des-Plaines,Couronne Nord
Sainte-Marthe-sur-le-Lac,Couronne Nord
Sainte-Therese,Couronne Nord
Saint-Eustache,Couronne Nord
Saint-Joseph-du-Lac,Couronne Nord
Saint-Sulpice,Couronne Nord
Terrebonne,Couronne Nord
Beauharnois,Couronne Sud
Beloeil,Couronne Sud
Calixa-Lavallee,Couronne Sud
Candiac,Couronne Sud
Carignan,Couronne Sud
Chambly,Couronne Sud
Chateauguay,Couronne Sud
Contrecoeur,Couronne Sud
Delson,Couronne Sud
Hudson,Couronne Sud
La Prairie,Couronne Sud
Lery,Couronne Sud
Les Cedres,Couronne Sud
L'Ile-Cadieux,Couronne Sud
L'Ile-Perrot,Couronne Sud
McMasterville,Couronne Sud
Mercier,Couronne Sud
Mont-Saint-Hilaire,Couronne Sud
Notre-Dame-de-l'Ile-Perrot,Couronne Sud
Otterburn Park,Couronne Sud
Pincourt,Couronne Sud
Pointe-des-Cascades,Couronne Sud
Richelieu,Couronne Sud
Saint-Amable,Couronne Sud
Saint-Basile-le-Grand,Couronne Sud
Saint-Constant,Couronne Sud
Sainte-Catherine,Couronne Sud
Sainte-Julie,Couronne Sud
Saint-Isidore,Couronne Sud
Saint-Jean-Baptiste,Couronne Sud
Saint-Lazare,Couronne Sud
Saint-Mathias-sur-Richelieu,Couronne Sud
Saint-Mathieu,Couronne Sud
Saint-Mathieu-de-BeLoeil,Couronne Sud
Saint-Philippe,Couronne Sud
Terrasse-Vaudreuil,Couronne Sud
Varennes,Couronne Sud
Vaudreuil-Dorion,Couronne Sud
Vaudreuil-sur-le-Lac,Couronne Sud
Vercheres,Couronne Sud
